#node1	node2	node1_string_id	node2_string_id	neighborhood_on_chromosome	gene_fusion	phylogenetic_cooccurrence	homology	coexpression	experimentally_determined_interaction	database_annotated	automated_textmining	combined_score
AARS1	PARS2	9606.ENSP00000261772	9606.ENSP00000360327	0	0	0	0	0.303	0	0	0.849	0.890
ACTL6B	KDM5C	9606.ENSP00000160382	9606.ENSP00000364550	0	0	0	0	0.059	0.098	0	0.493	0.532
ADSL	DALRD3	9606.ENSP00000485525	9606.ENSP00000344989	0.102	0	0	0	0.459	0	0	0.314	0.637
ADSL	PDE4D	9606.ENSP00000485525	9606.ENSP00000345502	0	0	0	0	0	0	0.900	0.048	0.900
ADSL	DPYD	9606.ENSP00000485525	9606.ENSP00000359211	0.115	0	0	0	0.147	0	0	0.490	0.581
ADSL	SDHB	9606.ENSP00000485525	9606.ENSP00000364649	0	0	0	0	0.139	0	0.654	0.087	0.704
ADSL	SHANK3	9606.ENSP00000485525	9606.ENSP00000489407	0	0	0	0	0	0	0	0.435	0.435
AKT1	TSC2	9606.ENSP00000451828	9606.ENSP00000219476	0	0	0	0	0.125	0.314	0.900	0.856	0.990
AKT1	YY1	9606.ENSP00000451828	9606.ENSP00000262238	0	0	0	0	0.060	0.071	0	0.470	0.497
AKT1	CREBBP	9606.ENSP00000451828	9606.ENSP00000262367	0	0	0	0	0.080	0.513	0	0.700	0.854
AKT1	BRD4	9606.ENSP00000451828	9606.ENSP00000263377	0	0	0	0	0.049	0	0	0.486	0.490
AKT1	PIK3CA	9606.ENSP00000451828	9606.ENSP00000263967	0	0	0	0	0.060	0.738	0.900	0.951	0.998
AKT1	HDAC4	9606.ENSP00000451828	9606.ENSP00000264606	0	0	0	0	0.074	0.068	0	0.501	0.531
AKT1	SLC1A2	9606.ENSP00000451828	9606.ENSP00000278379	0	0	0	0	0	0	0	0.412	0.412
AKT1	TSC1	9606.ENSP00000451828	9606.ENSP00000298552	0	0	0	0	0.049	0.477	0.900	0.736	0.985
AKT1	YWHAG	9606.ENSP00000451828	9606.ENSP00000306330	0	0	0	0	0.083	0.291	0	0.566	0.694
AKT1	SOX2	9606.ENSP00000451828	9606.ENSP00000323588	0	0	0	0	0	0.516	0	0.668	0.833
AKT1	MAOA	9606.ENSP00000451828	9606.ENSP00000340684	0	0	0	0	0	0.047	0	0.417	0.420
AKT1	SMAD4	9606.ENSP00000451828	9606.ENSP00000341551	0	0	0	0	0.085	0.636	0	0.763	0.914
AKT1	SDHC	9606.ENSP00000451828	9606.ENSP00000356953	0	0	0	0	0.042	0	0.113	0.588	0.619
AKT1	FMR1	9606.ENSP00000451828	9606.ENSP00000359506	0	0	0	0	0.049	0.048	0	0.468	0.476
AKT1	PTEN	9606.ENSP00000451828	9606.ENSP00000361021	0	0	0	0	0	0.648	0	0.967	0.988
AKT1	ATRX	9606.ENSP00000451828	9606.ENSP00000362441	0	0	0	0	0.049	0.305	0	0.411	0.577
AKT1	HDAC8	9606.ENSP00000451828	9606.ENSP00000362674	0	0	0	0	0.049	0.068	0	0.613	0.627
AKT1	SDHB	9606.ENSP00000451828	9606.ENSP00000364649	0	0	0	0	0.044	0	0.113	0.479	0.519
AKT1	SDHD	9606.ENSP00000451828	9606.ENSP00000364699	0	0	0	0	0.042	0	0.113	0.496	0.534
AKT1	PRKAR1A	9606.ENSP00000451828	9606.ENSP00000376475	0	0.058	0	0	0.082	0.166	0	0.283	0.415
AKT1	PPP3CA	9606.ENSP00000451828	9606.ENSP00000378323	0	0	0	0	0.049	0.328	0	0.483	0.641
AKT1	FGFR1	9606.ENSP00000451828	9606.ENSP00000393312	0	0	0	0.570	0.050	0.316	0	0.365	0.552
AKT1	FGF13	9606.ENSP00000451828	9606.ENSP00000396198	0	0	0	0	0	0	0	0.739	0.739
AKT1	CACNA1A	9606.ENSP00000451828	9606.ENSP00000489829	0	0	0	0	0.051	0.058	0	0.458	0.473
AKT1	CLTC	9606.ENSP00000451828	9606.ENSP00000479606	0	0	0	0	0.075	0.206	0	0.354	0.484
AKT1	SHANK3	9606.ENSP00000451828	9606.ENSP00000489407	0	0	0	0	0	0.095	0	0.522	0.548
AKT1	CYFIP2	9606.ENSP00000451828	9606.ENSP00000479719	0	0	0	0	0.047	0.052	0	0.789	0.792
ALAD	TSC1	9606.ENSP00000386284	9606.ENSP00000298552	0	0	0	0	0.049	0	0	0.491	0.495
ALDH5A1	GABRB2	9606.ENSP00000314649	9606.ENSP00000274547	0	0	0	0	0.058	0	0	0.822	0.825
ALDH5A1	SDHC	9606.ENSP00000314649	9606.ENSP00000356953	0	0	0	0	0.130	0	0.287	0.116	0.404
ALDH5A1	GATM	9606.ENSP00000314649	9606.ENSP00000379895	0	0	0	0	0.108	0.053	0.098	0.342	0.432
ALDH5A1	MAOA	9606.ENSP00000314649	9606.ENSP00000340684	0.042	0.039	0	0	0.104	0	0.217	0.269	0.443
ALDH5A1	SDHB	9606.ENSP00000314649	9606.ENSP00000364649	0	0	0	0	0.161	0	0.287	0.267	0.523
ALG13	SCN8A	9606.ENSP00000378260	9606.ENSP00000346534	0	0	0	0	0	0.057	0	0.447	0.456
ALG13	DHDDS	9606.ENSP00000378260	9606.ENSP00000353104	0	0	0	0	0.102	0	0	0.487	0.520
ALG13	NUS1	9606.ENSP00000378260	9606.ENSP00000357480	0	0	0	0	0.128	0	0	0.393	0.448
ALG13	FMR1	9606.ENSP00000378260	9606.ENSP00000359506	0	0	0	0	0.242	0.177	0	0.138	0.415
ALG13	SLC9A6	9606.ENSP00000378260	9606.ENSP00000359729	0	0	0	0	0.211	0	0	0.305	0.428
ALG13	DNM1	9606.ENSP00000378260	9606.ENSP00000362014	0	0	0	0	0	0	0	0.474	0.474
ALG13	STXBP1	9606.ENSP00000378260	9606.ENSP00000362399	0	0	0	0	0.049	0	0	0.527	0.530
AP3B2	CLTC	9606.ENSP00000440984	9606.ENSP00000479606	0	0	0	0	0.098	0.292	0	0.158	0.415
ARNT2	SATB2	9606.ENSP00000307479	9606.ENSP00000401112	0	0	0	0	0.060	0	0	0.402	0.414
ATP6V1A	EEF1A2	9606.ENSP00000273398	9606.ENSP00000217182	0	0	0	0	0.351	0.065	0	0.205	0.475
ATP6V1A	WFS1	9606.ENSP00000273398	9606.ENSP00000226760	0	0	0	0	0	0	0	0.407	0.407
ATP6V1A	DNM1	9606.ENSP00000273398	9606.ENSP00000362014	0	0.117	0	0	0	0.069	0	0.402	0.466
ATP6V1A	SZT2	9606.ENSP00000273398	9606.ENSP00000457168	0	0	0	0	0	0	0.500	0	0.499
ATP6V1A	CLTC	9606.ENSP00000273398	9606.ENSP00000479606	0	0	0	0	0.409	0	0	0.205	0.510
ATRX	TSC2	9606.ENSP00000362441	9606.ENSP00000219476	0	0	0	0	0.067	0	0	0.476	0.490
ATRX	CREBBP	9606.ENSP00000362441	9606.ENSP00000262367	0	0	0	0	0.264	0.250	0	0.381	0.629
ATRX	BRD4	9606.ENSP00000362441	9606.ENSP00000263377	0	0	0	0	0.062	0.753	0	0.315	0.827
ATRX	PIK3CA	9606.ENSP00000362441	9606.ENSP00000263967	0	0	0	0	0.176	0	0	0.582	0.641
ATRX	HDAC4	9606.ENSP00000362441	9606.ENSP00000264606	0	0	0	0	0	0.297	0	0.207	0.419
ATRX	NIPBL	9606.ENSP00000362441	9606.ENSP00000282516	0	0	0	0	0.458	0.105	0	0.381	0.674
ATRX	RAD21	9606.ENSP00000362441	9606.ENSP00000297338	0	0	0	0	0.110	0.071	0	0.476	0.529
ATRX	SMC1A	9606.ENSP00000362441	9606.ENSP00000323421	0.044	0	0	0	0.227	0.485	0	0.450	0.763
ATRX	REV3L	9606.ENSP00000362441	9606.ENSP00000351697	0.048	0	0	0	0.110	0.106	0	0.680	0.725
ATRX	SMC3	9606.ENSP00000362441	9606.ENSP00000354720	0.044	0	0	0	0.248	0.320	0	0.619	0.789
