RefSeqID	GOTerm	Description
NM_001320570	GO:0003824	catalytic activity
NM_001320570	GO:0016787	hydrolase activity
NM_001320570	GO:0140096	catalytic activity, acting on a protein
NM_001320570	GO:0043226	organelle
NM_001320570	GO:0005634	nucleus
NM_001320570	GO:0005794	Golgi apparatus
NM_001320570	GO:0005886	plasma membrane
NM_001320570	GO:0031410	cytoplasmic vesicle
NM_001320570	GO:0023052	signaling
NM_001320570	GO:0005576	extracellular region
NM_001320570	GO:0005615	extracellular space
NM_001320570	GO:0048870	cell motility
NM_001320570	GO:0005783	endoplasmic reticulum
NM_001320570	GO:0036211	protein modification process
NM_001320570	GO:0060090	molecular adaptor activity
NM_001320570	GO:0002376	immune system process
NM_001320570	GO:0007155	cell adhesion
NM_001320570	GO:0048856	anatomical structure development
NM_001320570	GO:0051604	protein maturation
NM_001320570	GO:0030198	extracellular matrix organization
NM_001320570	GO:0034330	cell junction organization
NM_001320570	GO:0065003	protein-containing complex assembly
NM_001320570	GO:0030163	protein catabolic process
NM_001110	GO:0003824	catalytic activity
NM_001110	GO:0016787	hydrolase activity
NM_001110	GO:0140096	catalytic activity, acting on a protein
NM_001110	GO:0043226	organelle
NM_001110	GO:0005634	nucleus
NM_001110	GO:0005794	Golgi apparatus
NM_001110	GO:0005886	plasma membrane
NM_001110	GO:0031410	cytoplasmic vesicle
NM_001110	GO:0023052	signaling
NM_001110	GO:0005576	extracellular region
NM_001110	GO:0005615	extracellular space
NM_001110	GO:0048870	cell motility
NM_001110	GO:0005783	endoplasmic reticulum
NM_001110	GO:0036211	protein modification process
NM_001110	GO:0060090	molecular adaptor activity
NM_001110	GO:0002376	immune system process
NM_001110	GO:0007155	cell adhesion
NM_001110	GO:0048856	anatomical structure development
NM_001110	GO:0051604	protein maturation
NM_001110	GO:0030198	extracellular matrix organization
NM_001110	GO:0034330	cell junction organization
NM_001110	GO:0065003	protein-containing complex assembly
NM_001110	GO:0030163	protein catabolic process
	GO:0003824	catalytic activity
	GO:0016787	hydrolase activity
	GO:0140096	catalytic activity, acting on a protein
NM_003183	GO:0003824	catalytic activity
NM_003183	GO:0016787	hydrolase activity
NM_003183	GO:0140096	catalytic activity, acting on a protein
NM_003183	GO:0005829	cytosol
NM_003183	GO:0005886	plasma membrane
NM_003183	GO:0023052	signaling
NM_003183	GO:0043226	organelle
NM_003183	GO:0005856	cytoskeleton
NM_003183	GO:0048870	cell motility
NM_003183	GO:0005794	Golgi apparatus
NM_003183	GO:0005783	endoplasmic reticulum
NM_003183	GO:0002376	immune system process
NM_003183	GO:0048856	anatomical structure development
NM_003183	GO:0042060	wound healing
NM_003183	GO:0051604	protein maturation
NM_003183	GO:0036211	protein modification process
NM_003183	GO:0000278	mitotic cell cycle
NM_003183	GO:0098542	defense response to other organism
NM_003183	GO:0007155	cell adhesion
NM_003183	GO:0030154	cell differentiation
NM_003183	GO:0012501	programmed cell death
NM_001382777	GO:0003824	catalytic activity
NM_001382777	GO:0016787	hydrolase activity
NM_001382777	GO:0140096	catalytic activity, acting on a protein
NM_001382777	GO:0005829	cytosol
NM_001382777	GO:0005886	plasma membrane
NM_001382777	GO:0023052	signaling
NM_001382777	GO:0043226	organelle
NM_001382777	GO:0005856	cytoskeleton
NM_001382777	GO:0048870	cell motility
NM_001382777	GO:0005794	Golgi apparatus
NM_001382777	GO:0005783	endoplasmic reticulum
NM_001382777	GO:0002376	immune system process
NM_001382777	GO:0048856	anatomical structure development
NM_001382777	GO:0042060	wound healing
NM_001382777	GO:0051604	protein maturation
NM_001382777	GO:0036211	protein modification process
NM_001382777	GO:0000278	mitotic cell cycle
NM_001382777	GO:0098542	defense response to other organism
NM_001382777	GO:0007155	cell adhesion
NM_001382777	GO:0030154	cell differentiation
NM_001382777	GO:0012501	programmed cell death
NM_001382778	GO:0003824	catalytic activity
NM_001382778	GO:0016787	hydrolase activity
NM_001382778	GO:0140096	catalytic activity, acting on a protein
NM_001382778	GO:0023052	signaling
	GO:0023052	signaling
	GO:0043226	organelle
	GO:0005634	nucleus
	GO:0005654	nucleoplasm
	GO:0005829	cytosol
	GO:0005886	plasma membrane
	GO:0065003	protein-containing complex assembly
	GO:0006351	DNA-templated transcription
	GO:0030163	protein catabolic process
	GO:0098772	molecular function regulator activity
NM_175573	GO:0043226	organelle
NM_175573	GO:0005634	nucleus
NM_175573	GO:0005654	nucleoplasm
NM_175573	GO:0005829	cytosol
NM_175573	GO:0005886	plasma membrane
NM_175573	GO:0065003	protein-containing complex assembly
NM_175573	GO:0006351	DNA-templated transcription
NM_175573	GO:0030163	protein catabolic process
NM_175573	GO:0098772	molecular function regulator activity
NM_007002	GO:0043226	organelle
NM_007002	GO:0005634	nucleus
NM_007002	GO:0005654	nucleoplasm
NM_007002	GO:0005829	cytosol
NM_007002	GO:0005886	plasma membrane
NM_007002	GO:0065003	protein-containing complex assembly
NM_007002	GO:0006351	DNA-templated transcription
NM_007002	GO:0030163	protein catabolic process
NM_007002	GO:0098772	molecular function regulator activity
NM_001281438	GO:0043226	organelle
NM_001281438	GO:0005634	nucleus
NM_001281438	GO:0005654	nucleoplasm
NM_001281438	GO:0005829	cytosol
NM_001281438	GO:0005886	plasma membrane
NM_001281437	GO:0043226	organelle
NM_001281437	GO:0005634	nucleus
NM_001281437	GO:0005654	nucleoplasm
NM_001281437	GO:0005829	cytosol
NM_001281437	GO:0005886	plasma membrane
NM_001206932	GO:0043226	organelle
NM_001206932	GO:0005634	nucleus
NM_001206932	GO:0005730	nucleolus
NM_001206932	GO:0005886	plasma membrane
NM_001206932	GO:0005576	extracellular region
NM_001206932	GO:0006954	inflammatory response
NM_001206932	GO:0016192	vesicle-mediated transport
NM_001206932	GO:0060089	molecular transducer activity
NM_001206932	GO:0006351	DNA-templated transcription
NM_001206932	GO:0006355	regulation of DNA-templated transcription
NM_001206932	GO:0002376	immune system process
NM_001206932	GO:0048856	anatomical structure development
NM_001206932	GO:0030154	cell differentiation
NM_001206932	GO:0023052	signaling
NM_001206932	GO:0060090	molecular adaptor activity
NM_001206932	GO:0003013	circulatory system process
NM_001206932	GO:0036211	protein modification process
NM_001206932	GO:0007155	cell adhesion
NM_001206932	GO:0050877	nervous system process
NM_001206932	GO:0038024	cargo receptor activity
NM_001206932	GO:0098631	cell adhesion mediator activity
NM_001206932	GO:0048870	cell motility
NM_001136	GO:0043226	organelle
NM_001136	GO:0005634	nucleus
NM_001136	GO:0005730	nucleolus
NM_001136	GO:0005886	plasma membrane
NM_001136	GO:0005576	extracellular region
NM_001136	GO:0006954	inflammatory response
NM_001136	GO:0016192	vesicle-mediated transport
NM_001136	GO:0060089	molecular transducer activity
NM_001136	GO:0006351	DNA-templated transcription
NM_001136	GO:0006355	regulation of DNA-templated transcription
NM_001136	GO:0002376	immune system process
NM_001136	GO:0048856	anatomical structure development
NM_001136	GO:0030154	cell differentiation
NM_001136	GO:0023052	signaling
NM_001136	GO:0060090	molecular adaptor activity
NM_001136	GO:0003013	circulatory system process
NM_001136	GO:0036211	protein modification process
NM_001136	GO:0007155	cell adhesion
